Directory,URICount,Category,TotalURIs
2016-12,13,SourceForge,9521
2016-12,22,GitHub,9521
2016-12,0,GitLab,9521
2016-12,3,Bitbucket,9521
2013-07,4468,Total,4468
2013-07,1015,OADS,4468
2013-07,3431,NonOADS,4468
2013-07,16,SourceForge,4468
2013-07,5,GitHub,4468
2013-07,0,GitLab,4468
2013-07,1,Bitbucket,4468
2004-04,58,Total,58
2004-04,9,OADS,58
2004-04,49,NonOADS,58
2004-04,0,SourceForge,58
2004-04,0,GitHub,58
2004-04,0,GitLab,58
2004-04,0,Bitbucket,58
2001-11,69,Total,69
2001-11,3,OADS,69
2001-11,66,NonOADS,69
2001-11,0,SourceForge,69
2001-11,0,GitHub,69
2001-11,0,GitLab,69
2001-11,0,Bitbucket,69
2008-12,771,Total,771
2008-12,157,OADS,771
2008-12,609,NonOADS,771
2008-12,5,SourceForge,771
2008-12,0,GitHub,771
2008-12,0,GitLab,771
2008-12,0,Bitbucket,771
2004-12,75,Total,75
2004-12,17,OADS,75
2004-12,58,NonOADS,75
2004-12,0,SourceForge,75
2004-12,0,GitHub,75
2004-12,0,GitLab,75
2004-12,0,Bitbucket,75
2012-03,3035,Total,3035
2012-03,672,OADS,3035
2012-03,2348,NonOADS,3035
2012-03,12,SourceForge,3035
2012-03,3,GitHub,3035
2012-03,0,GitLab,3035
2012-03,0,Bitbucket,3035
2008-04,330,Total,330
2008-04,92,OADS,330
2008-04,238,NonOADS,330
2008-04,0,SourceForge,330
2008-04,0,GitHub,330
2008-04,0,GitLab,330
2008-04,0,Bitbucket,330
2001-07,64,Total,64
2001-07,7,OADS,64
2001-07,57,NonOADS,64
2001-07,0,SourceForge,64
2001-07,0,GitHub,64
2001-07,0,GitLab,64
2001-07,0,Bitbucket,64
2016-04,7836,Total,7836
2016-04,1223,OADS,7836
2016-04,6583,NonOADS,7836
2016-04,6,SourceForge,7836
2016-04,24,GitHub,7836
2016-04,0,GitLab,7836
2016-04,0,Bitbucket,7836
2013-11,4299,Total,4299
2013-11,789,OADS,4299
2013-11,3497,NonOADS,4299
2013-11,11,SourceForge,4299
2013-11,2,GitHub,4299
2013-11,0,GitLab,4299
2013-11,0,Bitbucket,4299
2014-10,6037,Total,6037
2014-10,1070,OADS,6037
2014-10,4955,NonOADS,6037
2014-10,10,SourceForge,6037
2014-10,2,GitHub,6037
2014-10,0,GitLab,6037
2014-10,0,Bitbucket,6037
2002-01,71,Total,71
2002-01,4,OADS,71
2002-01,67,NonOADS,71
2002-01,0,SourceForge,71
2002-01,0,GitHub,71
2002-01,0,GitLab,71
2002-01,0,Bitbucket,71
2011-05,1622,Total,1622
2011-05,344,OADS,1622
2011-05,1270,NonOADS,1622
2011-05,8,SourceForge,1622
2011-05,0,GitHub,1622
2011-05,0,GitLab,1622
2011-05,0,Bitbucket,1622
2006-06,30,Total,30
2006-06,16,OADS,30
2006-06,14,NonOADS,30
2006-06,0,SourceForge,30
2006-06,0,GitHub,30
2006-06,0,GitLab,30
2006-06,0,Bitbucket,30
2015-02,6211,Total,6211
2015-02,923,OADS,6211
2015-02,5265,NonOADS,6211
2015-02,11,SourceForge,6211
2015-02,12,GitHub,6211
2015-02,0,GitLab,6211
2015-02,0,Bitbucket,6211
2010-01,1565,Total,1565
2010-01,595,OADS,1565
2010-01,963,NonOADS,1565
2010-01,7,SourceForge,1565
2010-01,0,GitHub,1565
2010-01,0,GitLab,1565
2010-01,0,Bitbucket,1565
2006-10,30,Total,30
2006-10,6,OADS,30
2006-10,24,NonOADS,30
2006-10,0,SourceForge,30
2006-10,0,GitHub,30
2006-10,0,GitLab,30
2006-10,0,Bitbucket,30
2003-05,91,Total,91
2003-05,8,OADS,91
2003-05,83,NonOADS,91
2003-05,0,SourceForge,91
2003-05,0,GitHub,91
2003-05,0,GitLab,91
2003-05,0,Bitbucket,91
1997-09,25,Total,25
1997-09,1,OADS,25
1997-09,24,NonOADS,25
1997-09,0,SourceForge,25
