Directory,URICount,Category,TotalURIs
2011-12,1194,NonOADS,1652
2011-12,14,SourceForge,1652
2011-12,6,GitHub,1652
2011-12,0,GitLab,1652
2011-12,0,Bitbucket,1652
2018-11,10780,Total,10780
2018-11,2585,OADS,10780
2018-11,6841,NonOADS,10780
2018-11,44,SourceForge,10780
2018-11,1276,GitHub,10780
2018-11,11,GitLab,10780
2018-11,23,Bitbucket,10780
2014-07,5548,Total,5548
2014-07,1526,OADS,5548
2014-07,3860,NonOADS,5548
2014-07,44,SourceForge,5548
2014-07,95,GitHub,5548
2014-07,0,GitLab,5548
2014-07,23,Bitbucket,5548
2020-10,23813,Total,23813
2020-10,4235,OADS,23813
2020-10,15338,NonOADS,23813
2020-10,63,SourceForge,23813
2020-10,4098,GitHub,23813
2020-10,39,GitLab,23813
2020-10,40,Bitbucket,23813
2019-03,13396,Total,13396
2019-03,2771,OADS,13396
2019-03,9009,NonOADS,13396
2019-03,50,SourceForge,13396
2019-03,1533,GitHub,13396
2019-03,9,GitLab,13396
2019-03,24,Bitbucket,13396
2006-11,1,Total,1
2006-11,0,OADS,1
2006-11,1,NonOADS,1
2006-11,0,SourceForge,1
2006-11,0,GitHub,1
2006-11,0,GitLab,1
2006-11,0,Bitbucket,1
2017-02,6747,Total,6747
2017-02,1604,OADS,6747
2017-02,4572,NonOADS,6747
2017-02,53,SourceForge,6747
2017-02,491,GitHub,6747
2017-02,5,GitLab,6747
2017-02,22,Bitbucket,6747
2008-10,2488,Total,2488
2008-10,679,OADS,2488
2008-10,1794,NonOADS,2488
2008-10,14,SourceForge,2488
2008-10,1,GitHub,2488
2008-10,0,GitLab,2488
2008-10,0,Bitbucket,2488
2016-10,5341,Total,5341
2016-10,1593,OADS,5341
2016-10,3410,NonOADS,5341
2016-10,25,SourceForge,5341
2016-10,299,GitHub,5341
2016-10,0,GitLab,5341
2016-10,14,Bitbucket,5341
2009-02,2535,Total,2535
2009-02,741,OADS,2535
2009-02,1784,NonOADS,2535
2009-02,10,SourceForge,2535
2009-02,0,GitHub,2535
2009-02,0,GitLab,2535
2009-02,0,Bitbucket,2535
2013-05,4481,Total,4481
2013-05,1224,OADS,4481
2013-05,3179,NonOADS,4481
2013-05,40,SourceForge,4481
2013-05,34,GitHub,4481
2013-05,0,GitLab,4481
2013-05,4,Bitbucket,4481
2016-06,8269,Total,8269
2016-06,2111,OADS,8269
2016-06,5626,NonOADS,8269
2016-06,36,SourceForge,8269
2016-06,473,GitHub,8269
