Directory,FileCount,FileWithURL
1908-07,72,0
1915-02,65,0
1958-12,14,0
1951-11,68,0
2002-10,129,74
1954-04,117,0
1906-06,65,0
1977-10,212,0
1968-02,75,0
1925-12,70,0
1961-01,122,0
1933-03,100,0
1929-04,111,0
1920-07,67,0
1972-05,122,0
2019-05,9136,8576
1918-06,64,0
1943-07,75,0
2010-06,1541,1006
1914-10,52,0
1946-12,64,0
1902-01,37,0
1950-03,88,0
1937-04,103,0
1993-09,151,0
1965-06,79,0
1976-02,86,0
1969-10,150,0
1932-11,116,0
1943-11,54,0
2010-10,1553,1061
1907-02,56,0
1918-10,63,0
2006-01,231,115
2015-05,4479,3984
1946-04,85,0
1914-06,71,0
1973-01,171,0
1965-10,160,0
1937-12,62,0
1932-07,107,0
1960-05,55,0
1969-06,75,0
1951-07,113,0
1903-05,77,0
1958-04,64,0
1910-01,76,0
1942-03,97,0
2011-02,1430,995
1919-02,52,0
2018-01,8218,7505
1954-12,58,0
1981-09,127,1
1925-04,106,0
1977-06,96,0
2021-12,11766,11173
1964-02,64,0
1929-12,80,0
1956-09,51,0
2005-08,195,82
1970-08,106,0
1986-07,190,2
1995-03,208,0
1983-12,123,0
1948-09,84,0
1994-11,228,0
1998-07,215,100
1935-09,113,0
1991-04,189,1
1944-09,61,0
1939-09,76,0
1962-08,58,0
1994-07,305,1
1991-12,150,0
1998-11,180,123
1987-03,137,0
2009-08,662,451
1901-08,38,0
1999-03,166,87
1986-11,149,0
1983-04,174,2
1927-09,107,0
1997-02,153,0
1988-10,193,0
1972-09,80,2
2021-08,11489,10945
1984-06,105,0
1929-08,100,0
1954-08,43,0
2007-09,443,334
1993-05,134,0
1937-08,59,0
1996-10,195,0
1989-02,150,1
1980-01,147,1
1911-09,61,0
2019-09,9284,8442
1985-02,108,0
1960-09,42,0
1996-06,152,0
1946-08,77,0
2015-09,5388,4822
1925-08,64,0
1981-05,103,0
1988-06,135,0
1992-01,242,0
1984-10,180,2
1958-08,29,0
1903-09,76,0
