Directory,Category,Mean,Median,StDev,Cut1,Cut2,Cut3,Percentage,Min,Max
2019-2004,Bitbucket,0,0,0,0,0,0,0,0,0
2019-8409,SourceForge,0,0,0,0,0,0,0,0,0
2019-8409,GitHub,0,0,0,0,0,0,0,0,0
2019-8409,GitLab,0,0,0,0,0,0,0,0,0
2019-8409,Bitbucket,0,0,0,0,0,0,0,0,0
2020-2107,SourceForge,1.2708333333333333,1.0,0.5678755487682922,1.0,1.0,1.0,0.0037284449277613795,1,4
2020-2107,GitHub,1.6983240223463687,1.0,1.4096821964575983,1.0,1.0,2.0,0.027807985086220288,1,15
2020-2107,GitLab,1.1111111111111112,1,0.3142696805273545,1.0,1.0,1.0,0.0006990834239552587,1,2
2020-2107,Bitbucket,1.3333333333333333,1,0.4714045207910317,1.0,1.0,2.0,0.0006990834239552587,1,2
2019-7206,SourceForge,0,0,0,0,0,0,0,0,0
2019-7206,GitHub,0,0,0,0,0,0,0,0,0
2019-7206,GitLab,0,0,0,0,0,0,0,0,0
2019-7206,Bitbucket,0,0,0,0,0,0,0,0,0
2019-2907,SourceForge,0,0,0,0,0,0,0,0,0
2019-2907,GitHub,0,0,0,0,0,0,0,0,0
2019-2907,GitLab,0,0,0,0,0,0,0,0,0
2019-2907,Bitbucket,0,0,0,0,0,0,0,0,0
2019-6102,SourceForge,0,0,0,0,0,0,0,0,0
2019-6102,GitHub,0,0,0,0,0,0,0,0,0
2019-6102,GitLab,0,0,0,0,0,0,0,0,0
2019-6102,Bitbucket,0,0,0,0,0,0,0,0,0
2019-6801,SourceForge,0,0,0,0,0,0,0,0,0
2019-6801,GitHub,0,0,0,0,0,0,0,0,0
2019-6801,GitLab,0,0,0,0,0,0,0,0,0
2019-6801,Bitbucket,0,0,0,0,0,0,0,0,0
2019-2511,SourceForge,0,0,0,0,0,0,0,0,0
2019-2511,GitHub,0,0,0,0,0,0,0,0,0
2019-2511,GitLab,0,0,0,0,0,0,0,0,0
2019-2511,Bitbucket,0,0,0,0,0,0,0,0,0
2019-4611,SourceForge,0,0,0,0,0,0,0,0,0
2019-4611,GitHub,0,0,0,0,0,0,0,0,0
2019-4611,GitLab,0,0,0,0,0,0,0,0,0
2019-4611,Bitbucket,0,0,0,0,0,0,0,0,0
2019-5903,SourceForge,0,0,0,0,0,0,0,0,0
2019-5903,GitHub,0,0,0,0,0,0,0,0,0
2019-5903,GitLab,0,0,0,0,0,0,0,0,0
2019-5903,Bitbucket,0,0,0,0,0,0,0,0,0
2019-4304,SourceForge,0,0,0,0,0,0,0,0,0
2019-4304,GitHub,0,0,0,0,0,0,0,0,0
2019-4304,GitLab,0,0,0,0,0,0,0,0,0
2019-4304,Bitbucket,0,0,0,0,0,0,0,0,0
2019-1106,SourceForge,0,0,0,0,0,0,0,0,0
2019-1106,GitHub,0,0,0,0,0,0,0,0,0
2019-1106,GitLab,0,0,0,0,0,0,0,0,0
2019-1106,Bitbucket,0,0,0,0,0,0,0,0,0
2019-6010,SourceForge,0,0,0,0,0,0,0,0,0
2019-6010,GitHub,0,0,0,0,0,0,0,0,0
2019-6010,GitLab,0,0,0,0,0,0,0,0,0
2019-6010,Bitbucket,0,0,0,0,0,0,0,0,0
2019-3212,SourceForge,0,0,0,0,0,0,0,0,0
